millis,epoch,sync,f1LV,f2LV,f3LV,f4LV,f5LV,f1RV,f2RV,f3RV,f4RV,f5RV
81444, 1542380267, 0, 596, 728, 635, 860, 508, 503, 757, 733, 1153, 586
81454, 1542380267, 0, 601, 723, 630, 855, 508, 498, 762, 733, 1148, 591
81464, 1542380267, 0, 601, 723, 635, 860, 508, 503, 762, 733, 1153, 586
81474, 1542380267, 0, 601, 728, 635, 860, 508, 498, 762, 733, 1148, 586
81484, 1542380267, 0, 596, 723, 635, 860, 508, 498, 762, 733, 1148, 591
81494, 1542380267, 0, 596, 723, 635, 855, 508, 503, 762, 733, 1153, 586
81504, 1542380267, 0, 601, 723, 630, 860, 513, 503, 762, 733, 1153, 586
81514, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 591
81524, 1542380267, 0, 596, 723, 630, 860, 508, 503, 762, 733, 1153, 586
81534, 1542380267, 0, 596, 728, 630, 865, 508, 498, 757, 733, 1153, 586
81544, 1542380267, 0, 601, 723, 635, 860, 513, 503, 762, 738, 1153, 591
81554, 1542380267, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1148, 591
81564, 1542380267, 0, 596, 723, 635, 860, 508, 498, 762, 733, 1153, 591
81574, 1542380267, 0, 601, 723, 630, 865, 513, 503, 762, 733, 1153, 586
81584, 1542380268, 0, 596, 728, 635, 865, 508, 498, 762, 733, 1148, 586
81594, 1542380268, 0, 601, 723, 630, 860, 513, 498, 762, 733, 1148, 591
81604, 1542380268, 0, 596, 723, 635, 860, 508, 503, 762, 733, 1153, 586
81614, 1542380268, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1153, 591
81624, 1542380268, 0, 601, 728, 630, 860, 513, 498, 762, 733, 1148, 591
81634, 1542380268, 0, 591, 723, 635, 860, 508, 503, 762, 733, 1153, 586
81644, 1542380268, 0, 601, 728, 635, 860, 513, 503, 762, 733, 1153, 591
81654, 1542380268, 0, 601, 728, 635, 860, 513, 503, 757, 733, 1153, 591
81664, 1542380268, 0, 601, 723, 635, 860, 513, 498, 757, 728, 1153, 591
81674, 1542380268, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1153, 596
81684, 1542380268, 0, 596, 723, 635, 860, 508, 498, 757, 728, 1153, 591
81694, 1542380268, 0, 601, 723, 630, 860, 508, 498, 757, 733, 1153, 591
81704, 1542380268, 0, 596, 723, 635, 865, 508, 498, 762, 733, 1153, 591
81714, 1542380268, 0, 596, 723, 635, 865, 513, 498, 762, 733, 1158, 596
81724, 1542380268, 0, 601, 723, 640, 865, 513, 503, 762, 738, 1153, 596
81734, 1542380268, 0, 601, 728, 635, 860, 508, 498, 762, 733, 1153, 591
81744, 1542380268, 0, 601, 723, 635, 860, 508, 498, 762, 733, 1153, 596
81754, 1542380268, 0, 601, 723, 635, 865, 508, 498, 757, 728, 1153, 596
81764, 1542380268, 0, 601, 723, 630, 865, 508, 498, 762, 733, 1148, 596
81774, 1542380268, 0, 601, 728, 635, 860, 508, 503, 762, 733, 1153, 591
81784, 1542380268, 0, 601, 723, 630, 860, 513, 503, 762, 733, 1158, 591
81794, 1542380268, 0, 601, 723, 635, 860, 513, 503, 757, 733, 1153, 596
81804, 1542380268, 0, 596, 728, 635, 860, 508, 498, 762, 733, 1153, 596
81814, 1542380268, 0, 601, 728, 635, 860, 508, 498, 757, 733, 1153, 596
81824, 1542380268, 0, 601, 728, 630, 860, 513, 503, 757, 728, 1153, 591
81835, 1542380268, 0, 596, 728, 635, 865, 513, 503, 757, 728, 1153, 591
81845, 1542380268, 0, 596, 723, 635, 865, 513, 498, 757, 733, 1148, 591
81855, 1542380268, 0, 596, 728, 635, 865, 513, 503, 762, 733, 1153, 591
81865, 1542380268, 0, 601, 728, 635, 860, 508, 503, 762, 728, 1153, 591
81875, 1542380268, 0, 601, 728, 635, 860, 513, 503, 757, 733, 1153, 591
81885, 1542380268, 0, 596, 723, 635, 865, 508, 498, 757, 733, 1153, 591
81895, 1542380268, 0, 596, 728, 635, 860, 508, 503, 757, 728, 1153, 596
81905, 1542380268, 0, 601, 728, 635, 860, 513, 498, 757, 728, 1153, 591
81915, 1542380268, 0, 601, 728, 630, 860, 513, 503, 752, 728, 1153, 591
81925, 1542380268, 0, 601, 728, 635, 860, 513, 503, 757, 733, 1153, 596
81935, 1542380268, 0, 601, 728, 635, 865, 513, 503, 762, 733, 1148, 596
81945, 1542380268, 0, 601, 723, 635, 865, 508, 498, 757, 733, 1153, 591
81955, 1542380268, 0, 601, 723, 630, 865, 513, 498, 757, 728, 1153, 596
81965, 1542380268, 0, 601, 728, 635, 865, 513, 498, 757, 733, 1148, 596
81975, 1542380268, 0, 601, 723, 635, 865, 513, 503, 757, 733, 1153, 596
81985, 1542380268, 0, 601, 723, 635, 865, 513, 498, 757, 733, 1153, 596
81995, 1542380268, 0, 601, 728, 635, 860, 513, 503, 762, 733, 1158, 601
82006, 1542380268, 0, 596, 723, 640, 865, 513, 498, 757, 733, 1148, 601
82016, 1542380268, 0, 601, 728, 635, 865, 513, 503, 757, 728, 1153, 596
82026, 1542380268, 0, 596, 723, 635, 865, 513, 498, 757, 733, 1153, 596
82036, 1542380268, 0, 601, 723, 635, 860, 508, 503, 757, 728, 1153, 596
82046, 1542380268, 0, 596, 728, 635, 860, 513, 498, 757, 733, 1153, 596
82056, 1542380268, 0, 596, 723, 635, 860, 508, 498, 757, 733, 1153, 601
82066, 1542380268, 0, 601, 728, 635, 860, 513, 503, 757, 733, 1153, 601
82076, 1542380268, 0, 601, 723, 635, 865, 513, 498, 762, 728, 1153, 601
82086, 1542380268, 0, 596, 723, 635, 865, 508, 498, 762, 733, 1153, 596
82096, 1542380268, 0, 596, 723, 630, 865, 513, 498, 757, 728, 1148, 601
82106, 1542380268, 0, 601, 723, 630, 860, 508, 498, 757, 728, 1153, 601
82116, 1542380268, 0, 596, 723, 630, 860, 513, 498, 757, 728, 1153, 601
82126, 1542380268, 0, 601, 723, 635, 860, 508, 503, 757, 728, 1153, 601
